Time (seconds),Total Misses Per Second,Total Hits Per Second
0,0,0
1.175,0,0
2.35,0,0
3.5250000000000004,0,0
4.7,0,0
5.875,0,0
7.050000000000001,0,0
8.225,0,0
9.4,0,0
10.575000000000001,0,0
11.75,0,0
12.925,0,0
14.100000000000001,0,0
15.275,0,0
16.45,0,0
17.625,0,0
18.8,0,0
19.975,0,0
21.150000000000002,0,0
22.325,0,0
23.5,0,0
24.675,0,0
25.85,0,0
27.025000000000002,0,0
28.200000000000003,0,0
29.375,0,0
30.55,0,0
31.725,0,0
32.9,0,0
34.075,0,0
35.25,0,0
36.425000000000004,0,0
37.6,0,0
38.775,0,0
39.95,0,0
41.125,0,0
42.300000000000004,0,0
43.475,0,0
44.65,0,0
45.825,0,0
