Time (seconds),Node1,Node2,Node3,Node4
0,0,0,0,0
0.725,0,0,0,0
1.45,0,0,0,0
2.175,0,0,0,0
2.9,0,0,0,0
3.625,0.25,0.2,0.0625,0.2222222222222222
4.35,0,0,0.1,0.3333333333333333
5.075,0,0,0,0
5.8,0,0,0,0
6.5249999999999995,0,0,0,0
7.25,0,0,0,0
7.975,0,0,0,0
8.7,0,0,0,0
9.424999999999999,0,0,0,0
10.15,0,0,0,0
10.875,0,0,0,0
11.6,0,0,0,0
12.325,0,0,0,0
13.049999999999999,0,0,0,0
13.775,0,0,0,0
14.5,0,0,0,0
15.225,0,0,0,0
15.95,0,0,0,0
16.675,0,0,0,0
17.4,0,0,0,0
18.125,0,0,0,0
18.849999999999998,0,0,0,0
19.575,0,0,0,0
20.3,0,0,0,0
21.025,0,0,0,0
21.75,0,0,0,0
22.474999999999998,0,0,0,0
23.2,0,0,0,0
23.925,0,0,0,0
24.65,0,0,0,0
25.375,0.2,0.5,0,0
26.099999999999998,0,0,0,0
26.825,0.2,0,0,0
27.55,0,0,0,0
28.275,0,0,0,0
