Time (seconds),Node1,Node2,Node3,Node4
0,0,0,0,0
0.725,0,0,0,0
1.45,0,0,0,0
2.175,0,0,0,0
2.9,0,0,0,0
3.625,0.75,0.4,0.0625,0.8888888888888888
4.35,2,1,1.8,3
5.075,2,1,2,4
5.8,2,0,2,4
6.5249999999999995,2,1,2,4
7.25,2,1,2,4
7.975,2,1,2,4
8.7,2,1,2,4
9.424999999999999,2,1,2,4
10.15,2,1,2,4
10.875,2,1,2,4
11.6,2,1,2,4
12.325,2,1,2,4
13.049999999999999,0,1,2,4
13.775,0,1,2,4
14.5,0,1,2,4
15.225,0,1,2,4
15.95,0,1,2,4
16.675,0,1,2,4
17.4,0,1,2,4
18.125,0,1,2,4
18.849999999999998,0,1,2,0
19.575,0,1,2,4
20.3,0,1,2,4
21.025,0,1,2,4
21.75,0,1,2,4
22.474999999999998,0,1,2,4
23.2,0,1,2,4
23.925,0,1,2,4
24.65,0,1,2,4
25.375,0.2,1,2,4
26.099999999999998,1,2,2,4
26.825,1,2,2,4
27.55,2,2,2,4
28.275,2,2,2,4
