Time (seconds),Node1,Node2,Node3,Node4
0,0,0,0,0
0.300432775,0,0,0,0
0.60086555,0,0,0,0
0.901298325,0,0,0,0
1.2017311,0,0,0,0
1.502163875,0,0,0,0
1.80259665,0,0,0,0
2.103029425,0,0,0,0
2.4034622,0,0,0,0
2.703894975,0,0,0,0
3.00432775,0,0,0,0
3.304760525,0,0,0,0
3.6051933,0,0,0,0
3.905626075,0,0,0,0
4.20605885,0,0,0,0
4.506491625,0,0,0,0
4.8069244,0,0,0,0
5.107357175,0,0,0,0
5.40778995,1,0,0,0
5.708222725,0,0,0,0
6.0086555,0,0,0,0
6.309088275,0,0,0,0
6.60952105,0,0,0,0
6.909953825,0,0,0,2
7.2103866,0,0,0,0
7.510819375,0,0,8,1
7.81125215,0,0,0,0
8.111684924999999,0,0,0,0
8.4121177,0,19,0,0
8.712550475,0,0,0,0
